Y,rs3893
Y,rs3894
Y,rs3895
Y,rs3896
Y,rs3897
Y,rs3898
Y,rs3899
Y,rs3900
Y,rs3901
Y,rs3902
Y,rs3903
Y,rs3904
Y,rs3905
Y,rs3906
Y,rs3907
Y,rs3908
Y,rs3909
Y,rs3910
Y,rs3911
Y,rs3912
Y,rs3913
Y,rs2032629
Y,rs2032630
Y,rs2032631
Y,rs2032633
Y,rs2032632
Y,rs34078768
Y,rs2032620
Y,rs2032621
Y,rs2032622
Y,rs2032623
Y,rs34289137
Y,rs2032625
Y,rs2032626
Y,rs2032626
Y,rs2032627
Y,rs2032628
Y,rs2032673
Y,rs2032672
Y,rs2032638
Y,rs2032637
Y,rs2032634
Y,rs2032635
Y,rs2032639
Y,rs2032640
Y,rs2032675
Y,rs2032641
Y,rs2032642
Y,rs2032616
Y,rs2032643
Y,rs2032644
Y,rs2032645
Y,rs2032652
Y,rs2032646
Y,rs2032651
Y,rs2032648
Y,rs2032647
Y,rs2032650
Y,rs9306841
Y,rs2032608
Y,rs2032609
Y,rs2032612
Y,rs2032611
Y,rs2032613
Y,rs2032679
Y,rs2032679
Y,rs2032614
Y,rs2032615
Y,rs2032617
Y,rs2032618
Y,rs2032619
Y,rs3848982
Y,rs2032595
Y,rs2032594
Y,rs2032597
Y,rs2032604
Y,rs2032624
Y,rs2032602
Y,rs2032678
Y,rs2032596
Y,rs2032598
Y,rs2032599
Y,rs2032601
Y,rs2032600
Y,rs20320
Y,rs2032607
Y,rs2032681
Y,rs2032605
Y,rs2032606
Y,rs2032603
Y,rs2032590
Y,rs2032662
Y,rs2032676
Y,rs2032677
Y,rs2032680
Y,rs2032591
Y,rs2032610
Y,rs2020857
Y,rs2032589
Y,rs2032593
Y,rs2032636
Y,rs2032649
Y,rs2032653
Y,rs2032655
Y,rs2032657
Y,rs2032656
Y,rs2032658
Y,rs2032659
Y,rs2032661
Y,rs2032660
Y,rs2032663
Y,rs2032664
Y,rs2032665
Y,rs2032674
Y,rs2032654
Y,rs2032666
Y,rs2032668
Y,rs2032671
Y,rs2032669
Y,rs2032670
Y,rs2032667
Y,rs9341275
Y,rs9341274
Y,rs9341277
Y,rs9341278
Y,rs8179022
Y,rs8179021
Y,rs9341296
Y,rs9341297
Y,rs9341301
Y,rs9341313
Y,rs9786153
Y,rs9341308
Y,rs9341310
Y,rs13447367
Y,rs13447370
Y,rs13447378
Y,rs13447379
Y,rs13447380
Y,rs13447368
Y,rs13447369
Y,rs9341317
Y,rs9341318
Y,rs9341319
Y,rs13447347
Y,rs13447348
Y,rs13447352
Y,rs13447353
Y,rs1558843
Y,rs13447354
Y,rs13447442
Y,rs13447360
Y,rs13447372
Y,rs13447373
Y,rs13447374
Y,rs13447375
Y,rs13447376
Y,rs13447377
Y,rs13447361
Y,rs9786184
Y,rs17316597
Y,rs150173
Y,rs9786896
Y,rs9786896
Y,rs34043621
Y,rs7892898
Y,rs9341290
Y,rs34248257
Y,rs17315821
Y,rs17315772
Y,rs17306671
Y,rs17250163
Y,rs7892893
Y,rs17250121
Y,rs17306699
Y,rs17250887
Y,rs9786043
Y,rs3853054
Y,rs16980711
Y,rs9786877
Y,rs9786502
Y,rs9785908
Y,rs16980478
Y,rs1980459
Y,rs9786636
Y,rs9306845
Y,rs4988808
Y,rs4141886
Y,rs9786431
Y,rs17842387
Y,rs16981340
Y,rs16980577
Y,rs16980396
Y,rs16980391
Y,rs9786893
Y,rs9786707
Y,rs9786634
Y,rs9786479
Y,rs9786357
Y,rs9786301
Y,rs9786126
Y,rs9786095
Y,rs9785913
Y,rs9785905
Y,rs9306848
Y,rs16980495
Y,rs7067483
Y,rs4589047
Y,rs17316007
Y,rs16980598
Y,rs16980499
Y,rs9786489
Y,rs16980574
Y,rs16980548
Y,rs9786025
Y,rs17842518
Y,rs16981311
Y,rs16981308
Y,rs16980360
Y,rs9786191
Y,rs7067279
Y,rs16980473
Y,rs16980621
Y,rs9785940
Y,rs16980394
Y,rs16980749
Y,rs16981290
Y,rs17174528
Y,rs16980610
Y,rs9786819
Y,rs16980601
Y,rs1698064
Y,rs16980426
Y,rs16980363
Y,rs2196155
Y,rs917759
Y,rs17276358
Y,rs17269816
Y,rs17269928
Y,rs17316592
Y,rs2267801
Y,rs13447354
Y,rs9786896
Y,rs17315835
Y,rs17315680
Y,rs17307294
Y,rs17306657
Y,rs7892900
Y,rs7067532
Y,rs17221964
Y,rs17316910
Y,rs17316729
Y,rs17222244
Y,rs17307398
Y,rs17307070
Y,rs17250992
Y,rs4481791
Y,rs17222419
Y,rs9786915
Y,rs9786781
Y,rs9786465
Y,rs9786261
Y,rs9786232
Y,rs9786197
Y,rs9786119
Y,rs9785959
Y,rs9785740
Y,rs9785717
Y,rs8181264
Y,rs6530605
Y,rs7067478
Y,rs4141564
Y,rs2740981
Y,rs9341312
Y,rs9341314
Y,rs2740980
Y,rs16980558
Y,rs7067418
Y,rs891407
Y,rs17315758
Y,rs17307656
Y,rs3865828
Y,rs4116821
Y,rs17249974
Y,rs1118473
Y,rs4116820
Y,rs16981297
Y,rs1005041
Y,rs895530
Y,rs9785702
Y,rs2075181
Y,rs2267802
Y,rs2268588
Y,rs2268591
Y,rs4252209
Y,rs3212291
Y,rs3212287
Y,rs3212290
Y,rs3212292
Y,rs3212294
Y,rs35284970
Y,rs2534636
Y,rs2534636
Y,rs1800865
Y,rs9786608
Y,rs11575897
Y,rs34442126
Y,rs16981293
Y,rs1236440
Y,rs16980586
Y,rs16980588
Y,rs2319818
Y,rs16980589
Y,rs16980370
Y,rs17222279
Y,rs16980502
Y,rs2068150
Y,rs17315723
Y,rs16980406
Y,rs20321
1,rs3001723
1,rs673253
1,rs17371903
1,rs112984125
1,rs11420276
1,rs1222063
1,rs1146557
1,rs2391769
2,rs9677504
2,rs13023832
3,rs55983260
3,rs4858241
3,rs56135409
3,rs1551042
3,rs62250537
4,rs28411770
5,rs4916723
5,rs226488
5,rs324886
5,rs1592757
5,rs12658032
5,rs30266
7,rs62444906
7,rs5886709
7,rs9969232
7,rs28452470
7,rs1443749
8,rs74760947
8,rs10956838
10,rs9665567
10,rs11591402
10,rs10400180
11,rs4275621
11,rs1848160
12,rs704067
12,rs1427829
13,rs7997529
13,rs2243517
13,rs9574218
13,rs2243638
15,rs281324
16,rs212178
19,rs10419998
17,rs4291
17,rs4343
19,rs405509
19,rs440446
19,rs449647
1,rs4845378
20,rs1064039
12,rs12984928
19,rs4806173
10,rs2251101
20,rs1799990
14,rs165932
3,rs1049296
10,rs2306604
6,rs4647198
1,rs11206510
1,rs9970807
1,rs7528419
1,rs6689306
1,rs67180937
2,rs16986953
2,rs515135
2,rs7568458
2,rs17678683
2,rs115654617
3,rs1199338
4,rs17087335
4,rs4593108
4,rs72689147
6,rs9349379
6,rs56336142
6,rs12202017
6,rs55730499
7,rs2107595
7,rs11556924
7,rs3918226
9,rs2891168
9,rs2519093
10,rs2487928
10,rs1870634
10,rs1412444
10,rs11191416
11,rs10840293
11,rs2128739
12,rs2681472
12,rs11065979
13,rs11838776
14,rs10139550
15,rs56062135
15,rs4468572
15,rs8042271
17,rs7212798
18,rs663129
19,rs56289821
19,rs4420638
21,rs28451064
22,rs180803
1,rs3170740
1,rs12031794
1,rs17038164
1,rs11205303
1,rs68008964
1,rs12118528
1,rs12048049
1,rs6656145
2,rs10203482
2,rs62146670
2,rs3791675
2,rs140904094
2,rs4672847
2,rs78111748
2,rs62186363
3,rs2581825
3,rs6763927
4,rs2011603
4,rs62317884
4,rs9995997
4,rs28823933
4,rs59684133
4,rs201034693
4,rs17002711
4,rs10857070
4,rs1712373
4,rs10516491
4,rs112720280
4,rs144293266
5,rs1173771
5,rs256602
5,rs10552784
5,rs72644089
5,rs299366
6,rs9379833
6,rs202228093
6,rs9322822
6,rs7774095
6,rs2077647
7,rs798493
7,rs67204384
7,rs10280712
7,rs6951759
7,rs13223890
8,rs76066577
8,rs4735762
9,rs373967703
9,rs7869550
9,rs4836800
9,rs2416898
10,rs11599886
10,rs111395535
10,rs1463597
11,rs187968503
11,rs668347
12,rs867633
12,rs4761523
12,rs59314616
13,rs78729033
13,rs74788384
14,rs7160756
15,rs730154
15,rs10520573
15,rs28559926
15,rs2871865
16,rs11403
17,rs7223535
17,rs35269070
17,rs4793944
17,rs572906486
17,rs11657553
17,rs1005207
17,rs917445
17,rs2079795
17,rs2727316
18,rs4369779
18,rs1787200
18,rs6567160
19,rs62112761
20,rs1884902
20,rs543888332
20,rs143384
23,rs73437577
